frame, time,Link1: EndX (m),Link1: EndY (m),Link2: EndX (m),Link2: EndY (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
34,0.33,0.279671843529626,0.10855256761929,0.371612559120885,0.600026783439985,21.2133560844573,58.1907195260075,
35,0.34,0.273693202046875,0.122849628218112,0.334999970079802,0.619076874742683,24.1733516244923,58.7836870830573,
36,0.35,0.266735396209007,0.137303417325368,0.296084790088653,0.636441287135801,27.2373780116984,59.3974948462732,
37,0.36,0.258751227143987,0.151815027093766,0.254978246947845,0.651800791511553,30.4010845359207,60.0312712501621,
38,0.37,0.249703174151424,0.166277854264192,0.211832731303301,0.664841621056853,33.659727095043,60.6840659221293,
39,0.38,0.23956485280373,0.1805787398924,0.166842427445194,0.675261920170416,37.0081869177916,61.3548534331643,
40,0.39,0.228322329682285,0.194599367338267,0.120242864226128,0.682778462698476,40.4409907651868,62.0425373447411,
41,0.4,0.215975242599832,0.208217901689417,0.0723093004244623,0.687133444409492,43.9523325309166,62.74595453596,
42,0.41,0.20253767737331,0.22131084303356,0.0233538985428416,0.688101131497271,47.5360961553862,63.4638797938543,
43,0.42,0.188038756796378,0.233755055437252,-0.0262783131088381,0.685494132280558,51.1858797630104,64.1950306487464,
44,0.43,0.172522904421471,0.245429923705281,-0.0762146401494248,0.679169054889961,54.8950209274924,64.9380724355695,
45,0.44,0.156049754955913,0.25621958156667,-0.126060982048474,0.669031320821796,58.6566229653763,65.6916235611807,
46,0.45,0.138693694214286,0.266015148413007,-0.175409000026563,0.65503892335567,62.4635821541059,66.4542609568785,
47,0.46,0.120543024215608,0.2747169075848,-0.223843994330438,0.637204950776523,66.3086157671725,67.2245256946043,
48,0.47,0.101698762609807,0.282236357834412,-0.270953253027277,0.615598736098094,70.1842908157089,68.0009287446651,
49,0.48,0.0822730995093022,0.288498071219085,-0.316334605035572,0.590345545744659,74.0830533831011,68.7819568522536,
50,0.49,0.0623875482784016,0.293441295355323,-0.359604892683057,0.561624776896208,77.9972584368454,69.5660785095732,
51,0.5,0.0421708391761808,0.297021245575425,-0.400408075128118,0.529666693872244,81.9192,70.35175,
52,0.51,0.021756615278036,0.299210042765352,-0.438422684128765,0.494747794612574,85.8411415631546,71.1374214904268,
53,0.52,0.00128099822563704,0.29999726506011,-0.473368377600172,0.457184955507455,89.7553466168989,71.9215431477464,
54,0.53,-0.0191199033856581,0.299390095518411,-0.505011372954054,0.417328553201495,93.6541091842911,72.7025712553348,
55,0.54,-0.0393124680738887,0.297413062682088,-0.533168589304417,0.375554802636723,97.5297842328275,73.4789743053957,
